"","country","employrate","Unemploy_rate"
"192","Timor-Leste",67.30000305,32.69999695
"193","Togo",63.90000153,36.09999847
"194","Tonga",NA,NA
"195","Trinidad and Tobago",61.5,38.5
"196","Tunisia",41.59999847,58.40000153
"197","Turkey",42.79999924,57.20000076
"198","Turkmenistan",58.5,41.5
"199","Tuvalu",NA,NA
"200","Uganda",83.19999695,16.80000305
"201","Ukraine",54.40000153,45.59999847
"202","United Arab Emirates",75.19999695,24.80000305
"203","United Kingdom",59.29999924,40.70000076
"204","United States of America",62.29999924,37.70000076
"205","Uruguay",57.5,42.5
"206","Uzbekistan",57.5,42.5
"207","Vanuatu",NA,NA
"208","Venezuela",59.90000153,40.09999847
"209","Vietnam",71,29
"210","West Bank and Gaza",32,68
"211","Yemen, Rep.",39,61
"212","Zambia",61,39
"213","Zimbabwe",66.80000305,33.19999695
