"","X.2","X.1","X","Country","population_2020","yearly_change","net_change","pop_density","land_area","mig_net","fert_rate","med_age","urban_pop","world_share","suicide_rate","gdp_per_capita","life_expect","continent","dup_population_2020"
"75",84,84,84,"Guyana",786552,0.48,3786,4,196850,-6000,2.5,27,27,0.01,30.2,17163,69.8,"South America",786552
"76",85,85,85,"Haiti",11402528,1.24,139451,414,27560,-35000,3,24,57,0.15,12.2,1916,63.7,"North America",11402528
"77",86,86,86,"Honduras",9904607,1.63,158490,89,111890,-6800,2.5,24,57,0.13,3.4,5600,75.1,"North America",9904607
"78",88,88,88,"Hungary",9660351,-0.25,-24328,107,90530,6000,1.5,43,72,0.12,13.6,35941,76.7,"Europe",9660351
"79",89,89,89,"Iceland",341243,0.65,2212,3,100250,380,1.8,37,94,0,13.3,56974,82.9,"Europe",341243
"80",90,90,90,"India",1380004385,0.99,13586631,464,2973190,-532687,2.2,28,35,17.7,16.5,9027,69.4,"Asia",1380004385
"81",91,91,91,"Indonesia",273523615,1.07,2898047,151,1811570,-98955,2.3,30,56,3.51,3.7,14841,71.5,"Asia",273523615
"82",92,92,92,"Iran",83992949,1.3,1079043,52,1628550,-55000,2.2,32,76,1.08,4,17832,76.5,"Asia",83992949
"83",93,93,93,"Iraq",40222493,2.32,912710,93,434320,7834,3.7,21,73,0.52,4.1,18755,70.5,"Asia",40222493
"84",94,94,94,"Ireland",4937786,1.13,55291,72,68890,23604,1.8,38,63,0.06,10.9,86988,82.1,"Europe",4937786
"85",95,95,95,"Israel",8655535,1.6,136158,400,21640,10000,3,30,93,0.11,5.2,40337,82.8,"Asia",8655535
"86",96,96,96,"Italy",60461826,-0.15,-88249,206,294140,148943,1.3,47,69,0.78,5.5,41582,83.6,"Europe",60461826
"87",97,97,97,"Jamaica",2961167,0.44,12888,273,10830,-11332,2,31,55,0.04,2,9932,74.4,"North America",2961167
