"","Country","population_2020","yearly_change","net_change","pop_density","land_area","mig_net","fert_rate","med_age","urban_pop","world_share","suicide_rate","gdp_per_capita","life_expect","continent"
"77","Guinea",13132795,2.83,361549,53,245720,-4000,4.7,18,39,0.17,10.5,2113,61.2,"Africa"
"78","Guinea",13132795,2.83,361549,53,245720,-4000,4.7,18,39,0.17,10.5,2113,58,"Africa"
"79","Guinea",13132795,2.83,361549,53,245720,-4000,4.7,18,39,0.17,7.4,2574,61.2,"Africa"
"80","Guinea",13132795,2.83,361549,53,245720,-4000,4.7,18,39,0.17,7.4,2574,58,"Africa"
"81","Guinea",13132795,2.83,361549,53,245720,-4000,4.7,18,39,0.17,7.4,2113,61.2,"Africa"
"82","Guinea",13132795,2.83,361549,53,245720,-4000,4.7,18,39,0.17,7.4,2113,58,"Africa"
"83","Guinea-Bissau",1968001,2.45,47079,70,28120,-1399,4.5,19,45,0.03,NA,NA,NA,"Africa"
"84","Guyana",786552,0.48,3786,4,196850,-6000,2.5,27,27,0.01,30.2,17163,69.8,"Americas"
"85","Haiti",11402528,1.24,139451,414,27560,-35000,3,24,57,0.15,12.2,1916,63.7,"Americas"
"86","Honduras",9904607,1.63,158490,89,111890,-6800,2.5,24,57,0.13,3.4,5600,75.1,"Americas"
"87","Hong Kong",7496981,0.82,60827,7140,1050,29308,1.3,45,NA,0.1,NA,66527,84.7,"Asia"
"88","Hungary",9660351,-0.25,-24328,107,90530,6000,1.5,43,72,0.12,13.6,35941,76.7,"Europe"
"89","Iceland",341243,0.65,2212,3,100250,380,1.8,37,94,0,13.3,56974,82.9,"Europe"
"90","India",1380004385,0.99,13586631,464,2973190,-532687,2.2,28,35,17.7,16.5,9027,69.4,"Asia"
"91","Indonesia",273523615,1.07,2898047,151,1811570,-98955,2.3,30,56,3.51,3.7,14841,71.5,"Asia"
"92","Iran",83992949,1.3,1079043,52,1628550,-55000,2.2,32,76,1.08,4,17832,76.5,"Asia"
"93","Iraq",40222493,2.32,912710,93,434320,7834,3.7,21,73,0.52,4.1,18755,70.5,"Asia"
"94","Ireland",4937786,1.13,55291,72,68890,23604,1.8,38,63,0.06,10.9,86988,82.1,"Europe"
"95","Israel",8655535,1.6,136158,400,21640,10000,3,30,93,0.11,5.2,40337,82.8,"Asia"
"96","Italy",60461826,-0.15,-88249,206,294140,148943,1.3,47,69,0.78,5.5,41582,83.6,"Europe"
"97","Jamaica",2961167,0.44,12888,273,10830,-11332,2,31,55,0.04,2,9932,74.4,"Americas"
"98","Japan",126476461,-0.3,-383840,347,364555,71560,1.4,48,92,1.62,14.3,46827,84.5,"Asia"
"99","Jordan",10203134,1,101440,115,88780,10220,2.8,24,91,0.13,3.7,9939,74.4,"Asia"
"100","Kazakhstan",18776707,1.21,225280,7,2699700,-18000,2.8,31,58,0.24,22.8,30178,73.2,"Asia"
"101","Kenya",53771296,2.28,1197323,94,569140,-10000,3.5,20,28,0.69,5.6,4078,63.3,"Africa"
"102","Kiribati",119449,1.57,1843,147,810,-800,3.6,23,57,0,15.2,2193,68.1,"Oceania"
